"FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","ARR_TIME","ARR_DELAY","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019-01-01,"9E","3280","GNV","ATL","0601",1.00,22.00,"0623","0714",8.00,"0722",-1.00,51.00,300.00,,,,,,
2019-01-01,"9E","3281","MSP","CVG","1359",-5.00,15.00,"1414","1629",4.00,"1633",-36.00,75.00,596.00,,,,,,
2019-01-01,"9E","3282","DTW","CVG","1215",-5.00,18.00,"1233","1323",6.00,"1329",-16.00,50.00,229.00,,,,,,
2019-01-01,"9E","3283","TLH","ATL","1521",-6.00,14.00,"1535","1618",7.00,"1625",-14.00,43.00,223.00,,,,,,
2019-01-01,"9E","3284","ATL","FSM","1847",-15.00,18.00,"1905","1935",5.00,"1940",-25.00,90.00,579.00,,,,,,
2019-01-01,"9E","3285","DAY","MSP","0853",-7.00,25.00,"0918","0948",5.00,"0953",-19.00,90.00,574.00,,,,,,
2019-01-01,"9E","3286","JAN","ATL","1553",-5.00,33.00,"1626","1818",14.00,"1832",9.00,52.00,341.00,,,,,,
2019-01-01,"9E","3287","LGA","CVG","1551",-4.00,31.00,"1622","1816",8.00,"1824",3.00,114.00,585.00,,,,,,
2019-01-01,"9E","3288","JAX","LGA","1037",-8.00,17.00,"1054","1235",4.00,"1239",-22.00,101.00,833.00,,,,,,
2019-01-01,"9E","3289","ATL","BMI","1245",0.00,15.00,"1300","1316",2.00,"1318",-14.00,76.00,533.00,,,,,, 